,t,T,u
620,620.0,21.504848173386584,0.0
621,621.0,21.923025599182772,10.0
622,622.0,21.521434998574925,10.0
623,623.0,21.78436294996244,10.0
624,624.0,21.88619506428675,10.0
625,625.0,22.39076731937608,10.0
626,626.0,22.522885783062094,10.0
627,627.0,23.01118456414298,10.0
628,628.0,22.803786880546646,10.0
629,629.0,23.45679302704501,10.0
630,630.0,23.888386349583737,10.0
631,631.0,24.33597532131848,10.0
632,632.0,23.770164283434493,10.0
633,633.0,23.955739446809748,10.0
634,634.0,24.01411963708612,10.0
635,635.0,24.96149807863059,10.0
636,636.0,25.08245769072891,10.0
637,637.0,24.288097518705698,10.0
638,638.0,25.158203229763522,10.0
639,639.0,25.27563932550232,10.0
640,640.0,25.38583252432248,10.0
641,641.0,25.700196858962634,10.0
642,642.0,25.674196393408106,10.0
643,643.0,25.955214830688316,10.0
644,644.0,25.916288710888978,10.0
645,645.0,25.755438259173147,10.0
646,646.0,25.83704631410703,10.0
647,647.0,26.28220809262929,10.0
648,648.0,25.737158720385285,10.0
649,649.0,25.628439508670827,10.0
650,650.0,26.625914898335097,10.0
651,651.0,25.83458332838188,10.0
652,652.0,25.928134232289793,10.0
653,653.0,25.96211056014548,10.0
654,654.0,26.84309656921652,10.0
655,655.0,26.37227704514638,10.0
656,656.0,26.893629773680214,10.0
657,657.0,27.023694623789556,10.0
658,658.0,27.314711551484216,10.0
659,659.0,27.016228786246288,10.0
660,660.0,26.5140101097984,10.0
661,661.0,27.51719402166023,10.0
662,662.0,26.81866701847685,10.0
663,663.0,27.042794777531164,10.0
664,664.0,27.29525601833906,10.0
665,665.0,27.553525263166573,10.0
666,666.0,27.74138598241059,10.0
667,667.0,27.266646977220635,10.0
668,668.0,27.48061787888425,10.0
669,669.0,27.93176521393371,10.0
670,670.0,27.606819905141208,10.0
671,671.0,27.67983838368836,10.0
672,672.0,27.192805975970746,10.0
673,673.0,27.865462935686573,10.0
674,674.0,27.60098389552403,10.0
675,675.0,27.637737943026437,10.0
676,676.0,27.577072313940384,10.0
677,677.0,27.694396145283214,10.0
678,678.0,28.280649008595333,10.0
679,679.0,27.61904560251177,10.0
680,680.0,28.407645440083247,10.0
681,681.0,28.13658605081737,10.0
682,682.0,27.90284902701966,10.0
683,683.0,28.145695152626814,10.0
684,684.0,27.824488789518778,10.0
685,685.0,27.957709334744226,10.0
686,686.0,28.227082913238082,10.0
687,687.0,28.16950207901783,10.0
688,688.0,28.307861551141453,10.0
689,689.0,28.696381974434637,10.0
690,690.0,28.17806100422054,10.0
691,691.0,28.47308763104507,10.0
692,692.0,28.805263939410803,10.0
693,693.0,28.491857756754293,10.0
694,694.0,28.747725781567155,10.0
695,695.0,28.916060516455588,10.0
696,696.0,28.95673263665744,10.0
697,697.0,28.372474998837912,10.0
698,698.0,29.03491411605043,10.0
699,699.0,29.26695710866341,10.0
700,700.0,29.146639561007163,10.0
701,701.0,29.318664174946367,10.0
702,702.0,28.927902554531872,10.0
703,703.0,29.251384956934288,10.0
704,704.0,28.711232046523055,10.0
705,705.0,29.393111228300768,10.0
706,706.0,28.738846801709514,10.0
707,707.0,28.83888658848759,10.0
708,708.0,28.952088546345053,10.0
709,709.0,28.877683154516703,10.0
710,710.0,28.93488474751847,10.0
711,711.0,29.31230236944157,10.0
712,712.0,29.646017047352377,10.0
713,713.0,29.097028533218804,10.0
714,714.0,29.21781112729173,10.0
715,715.0,29.26239726898998,10.0
716,716.0,28.95945144604936,10.0
717,717.0,29.508098025380292,10.0
718,718.0,29.22482091517447,10.0
719,719.0,29.053304062727406,10.0
720,720.0,29.410338293378697,10.0
721,721.0,29.11384097636733,10.0
722,722.0,29.887541454384152,10.0
723,723.0,29.78923312369618,10.0
724,724.0,29.85839158041237,10.0
725,725.0,29.729559653040475,10.0
726,726.0,29.84378448319236,10.0
727,727.0,29.743408653026812,10.0
728,728.0,29.128702893260286,10.0
729,729.0,29.862157176676405,10.0
730,730.0,29.95421384388352,10.0
731,731.0,29.65033678791534,10.0
732,732.0,29.257488901659585,10.0
733,733.0,29.772087809728674,10.0
734,734.0,29.628046490152038,10.0
735,735.0,29.38652059649149,10.0
736,736.0,29.312803992234336,10.0
737,737.0,29.992289564028304,10.0
738,738.0,29.919441995129944,10.0
739,739.0,30.281230921375847,10.0
740,740.0,29.927070909514757,10.0
741,741.0,30.135324052738838,10.0
742,742.0,29.906869244926447,10.0
743,743.0,29.450973551084925,10.0
744,744.0,29.55446807477248,10.0
745,745.0,29.769327287200653,10.0
746,746.0,29.463094848623665,10.0
747,747.0,30.126503216488505,10.0
748,748.0,29.928395688571342,10.0
749,749.0,30.235762224821986,10.0
750,750.0,29.780533312245794,10.0
751,751.0,29.613920801616754,10.0
752,752.0,30.104908492702666,10.0
753,753.0,29.55274727052225,10.0
754,754.0,29.70300487404438,10.0
755,755.0,30.354280477745192,10.0
756,756.0,29.613813652035056,10.0
757,757.0,29.919523979469112,10.0
758,758.0,30.335646492909067,10.0
759,759.0,30.148013284449473,10.0
760,760.0,30.09712981507678,10.0
761,761.0,30.25594478331554,10.0
762,762.0,29.815060877169433,10.0
763,763.0,29.860110204871972,10.0
764,764.0,30.277569819817238,10.0
765,765.0,30.170650127909983,10.0
766,766.0,29.684299306110137,10.0
767,767.0,30.002859706197448,10.0
768,768.0,30.546482078330286,10.0
769,769.0,30.609930285080868,10.0
770,770.0,29.90264898122817,10.0
771,771.0,29.787339462233607,10.0
772,772.0,30.448469413905528,10.0
773,773.0,30.721778082614648,10.0
774,774.0,30.570739862543277,10.0
